"57,""209"",""Felix Ivan GUANCHE MARRERO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225182&method=ResAtletaUid"",""54"",""22 VETA-M"",""VETA"",""GOT TEAM"",""17:32:40"",""10:51"",""06:02:53"",""14006"",""M"",""30 LOC-M""";
"58,""383"",""Alfredo Severo RAMÍREZ GONZÁLEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535751023&method=ResAtletaUid"",""55"",""23 VETA-M"",""VETA"",""ASOCIACIÓN DEPORTIVA GRANAVENTURA"",""17:33:58"",""10:51"",""06:04:11"",""14006"",""M"",""31 LOC-M""";
"59,""240"",""Tamara HERNANDEZ VELAZQUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535748491&method=ResAtletaUid"",""4-F"",""2 SEN-F"",""SEN"",""ISLA BAJA TRAIL"",""17:34:54"",""10:52"",""06:05:07"",""14001"",""F"",""2 LOC-F""";
"60,""373"",""Jose Juan PLASENCIA FUENTES"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1482565361538&method=ResAtletaUid"",""56"",""1 VETC-M"",""VETC"",""Aiiiiiiiadelante Team"",""17:37:48"",""10:54"",""06:08:01"",""14011"",""M"",""32 LOC-M""";
"61,""84"",""Ruyman CRUZ DELGADO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492670216791&method=ResAtletaUid"",""57"",""31 SEN-M"",""SEN"",""ARCHIPIELAGO TRAIL"",""17:39:50"",""10:55"",""06:10:03"",""14008"",""M"",""33 LOC-M""";
"62,""337"",""Javier ORTEGA BALLESTER"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535751291&method=ResAtletaUid"",""58"",""32 SEN-M"",""SEN"",""-"",""17:40:04"",""10:55"",""06:10:17"",""14008"",""M"",""34 LOC-M""";
"63,""396"",""Gregorio Jesus RIVERO GUTIERREZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705225536&method=ResAtletaUid"",""59"",""24 VETA-M"",""VETA"",""C.D VANTRAIL"",""17:43:45"",""10:57"",""06:13:58"",""14006"",""M"",""""";
"64,""52"",""Rayco BRAVO HERNÁNDEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535751333&method=ResAtletaUid"",""60"",""33 SEN-M"",""SEN"",""Atlantes Trail"",""17:49:05"",""11:01"",""06:19:18"",""14008"",""M"",""35 LOC-M""";
"65,""184"",""Victor Manuel GONZALEZ GONZALEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705235989&method=ResAtletaUid"",""61"",""25 VETA-M"",""VETA"",""ANAGA TRAIL"",""17:50:03"",""11:01"",""06:20:16"",""14006"",""M"",""36 LOC-M""";
"66,""238"",""Francisco Javier HERNANDEZ SANCHEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492064104404&method=ResAtletaUid"",""62"",""26 VETA-M"",""VETA"",""SSJ NUTRITION SPORT"",""17:52:05"",""11:03"",""06:22:18"",""14006"",""M"",""37 LOC-M""";
